Respondent_ID,Q1_Age_Group,Q2_Marital_Dependent_Status,Q3_City_Tier,Q4_Financial_Dependents,Q5_Employment_Status,Q6_Monthly_Income,Q7_Income_Stability,Q8_Monthly_Expenditure,Q9_Top_Spending_Categories,Q10_Impulse_Purchase_Frequency,Q11_Spending_Triggers,Q12_Active_Subscriptions,Q13_Statement_Review_Frequency,Q14_Financial_Goals,Q15_Savings_Percentage,Q16_Financial_Challenges,Q17_Financial_Confidence,Q18_Financial_Stress_Level,Q19_Budget_Behavior,Q20_Finance_App_Usage,Q21_Financial_Literacy,Q22_Digital_Comfort_Level,Q23_Preferred_Features,Q24_Willingness_To_Pay,Q25_BudgetLife_Interest,Persona_Tag
R1296,25–34,Joint family (supporting elders),Metro (Tier 1),2,Student,"Below ₹20,000",Highly unpredictable,"Below ₹10,000",Groceries & Food|Transportation,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",1–2,Rarely,No Specific Goal,11–20%,No Budgeting Discipline,4 – Very confident,3 – Sometimes,"No, and I don't plan to","No, never used one",4 – High,Very comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹0 (Free only),Probably Yes,College Student / Early Career
R1297,25–34,Joint family (supporting elders),Metro (Tier 1),2,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000","Entertainment & Dining Out|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Celebrations or festivals|Flash sales, discounts & offers",6+,Monthly,"Build Emergency Fund|Save for Major Purchase (Home, Car)",21–30%,High Cost of Living|Lack of Financial Knowledge,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","No, never used one",5 – Very High,Neutral,Automatic Expense Tracking & Smart Categorization,₹100–₹199,Probably Yes,Young Urban Professional
R1298,35–44,"Single, with dependents",Metro (Tier 1),2,Salaried (Private),"Above ₹2,00,000",Irregular but manageable,"₹50,001–₹1,00,000",Entertainment & Dining Out|Rent & Housing,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",None,Weekly,Build Emergency Fund,1–10%,Overspending|Unexpected Expenses,5 – Extremely confident,3 – Sometimes,"No, and I don't plan to","Yes, currently using one",2 – Low,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably No,Young Urban Professional
R1299,35–44,Joint family (supporting elders),Tier 3,2,Unemployed,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹10,001–₹25,000",Education,Rarely (1–2 times/month),"Celebrations or festivals|Flash sales, discounts & offers",1–2,Monthly,Build Emergency Fund|Invest & Grow Wealth|Pay Off Debt,Above 30%,No Budgeting Discipline|Overspending,4 – Very confident,2 – Rarely,"No, but I want to","No, never used one",1 – Very Low,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably No,Small Town Conservative Saver
R1300,35–44,"Married, no children",Tier 2,2,Self-employed,"₹50,001–₹1,00,000",Very stable (fixed salary),"Above ₹1,00,000",Healthcare|Rent & Housing|Shopping & Fashion,Often (6+ times/month),Social media influence|Social pressure or peer influence,3–5,Quarterly,Invest & Grow Wealth|Save for Vacation,0% (No savings),No Budgeting Discipline,1 – Not confident at all,1 – Never,"No, but I want to",Used before but stopped,4 – High,Very comfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹200–₹499,Probably No,High-Income Low-Awareness Spender
R1301,18–24,"Married, no children",Tier 2,0,Self-employed,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000","EMIs & Loan Repayments|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Flash sales, discounts & offers",1–2,Rarely,Build Emergency Fund|Invest & Grow Wealth,11–20%,No Budgeting Discipline,3 – Moderately confident,3 – Sometimes,"No, but I want to",Used before but stopped,5 – Very High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Maybe,Young Urban Professional
R1302,35–44,Joint family (supporting elders),Metro (Tier 1),3,Retired,"₹20,001–₹50,000",Very stable (fixed salary),"₹25,001–₹50,000",Entertainment & Dining Out|Groceries & Food,Rarely (1–2 times/month),"Flash sales, discounts & offers",3–5,Monthly,Save for Vacation,21–30%,No Budgeting Discipline,4 – Very confident,3 – Sometimes,"No, but I want to",Used before but stopped,4 – High,Neutral,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹49–₹99,Maybe,Aspiring Digital-First Millennial
R1303,18–24,"Married, no children",Tier 2,0,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000","Rent & Housing|Subscriptions (OTT, Gym, etc.)|Transportation",Often (6+ times/month),"Flash sales, discounts & offers",3–5,Never,Build Emergency Fund|Save for Vacation,11–20%,Overspending|Unexpected Expenses,3 – Moderately confident,3 – Sometimes,"No, but I want to",Used before but stopped,4 – High,Somewhat uncomfortable,Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹0 (Free only),Probably Yes,Young Urban Professional
R1304,35–44,Joint family (supporting elders),Rural,4+,Salaried (Private),"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Education|Groceries & Food|Shopping & Fashion,Rarely (1–2 times/month),Celebrations or festivals|Social media influence,1–2,Quarterly,Children's Education|Retirement Planning,11–20%,Low or Irregular Income,3 – Moderately confident,1 – Never,"No, and I don't plan to","No, never used one",4 – High,Very uncomfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹100–₹199,Definitely No,Small Town Conservative Saver
R1305,35–44,Joint family (supporting elders),Metro (Tier 1),2,Self-employed,"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000",EMIs & Loan Repayments|Entertainment & Dining Out|Other,Often (6+ times/month),Social media influence|Social pressure or peer influence,1–2,Weekly,Save for Vacation,0% (No savings),High Cost of Living,5 – Extremely confident,2 – Rarely,"No, but I want to",Used before but stopped,3 – Average,Very comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Maybe,High-Income Low-Awareness Spender
R1306,55+,Joint family (supporting elders),Tier 3,4+,Retired,"₹20,001–₹50,000",Highly unpredictable,"Below ₹10,000","Groceries & Food|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),Celebrations or festivals,1–2,Monthly,Invest & Grow Wealth,0% (No savings),Overspending|Unexpected Expenses,3 – Moderately confident,4 – Often,"No, but I want to","No, never used one",4 – High,Somewhat uncomfortable,Financial Health Score with Peer Benchmarking,₹0 (Free only),Maybe,Retired / Senior Citizen
R1307,45–54,Joint family (supporting elders),Metro (Tier 1),4+,Salaried (Private),"Above ₹2,00,000",Mostly stable with some variation,"Above ₹1,00,000","EMIs & Loan Repayments|Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Flash sales, discounts & offers",3–5,Never,"No Specific Goal|Save for Major Purchase (Home, Car)",1–10%,No Budgeting Discipline,5 – Extremely confident,1 – Never,"No, but I want to","Yes, currently using one",4 – High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Subscription & Money Leak Detection,₹200–₹499,Probably No,High-Income Low-Awareness Spender
R1308,35–44,"Single, no dependents",Tier 2,0,Freelancer or Gig Worker,"Below ₹20,000",Irregular but manageable,"₹25,001–₹50,000","Rent & Housing|Subscriptions (OTT, Gym, etc.)|Transportation",Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",None,Monthly,Save for Vacation,1–10%,High Cost of Living|Low or Irregular Income,4 – Very confident,2 – Rarely,"No, and I don't plan to","No, never used one",4 – High,Very uncomfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹49–₹99,Maybe,Gig Worker / Irregular Income
R1309,18–24,"Single, no dependents",Metro (Tier 1),0,Student,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000",Groceries & Food,Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social media influence",3–5,Rarely,Save for Vacation,1–10%,Low or Irregular Income|Overspending,2 – Slightly confident,2 – Rarely,"No, but I want to",Used before but stopped,5 – Very High,Very comfortable,AI Savings Recommendations & Goal Engine|Financial Health Score with Peer Benchmarking,₹200–₹499,Maybe,College Student / Early Career
R1310,35–44,"Single, with dependents",Metro (Tier 1),1,Self-employed,"Above ₹2,00,000",Highly unpredictable,"₹25,001–₹50,000",Groceries & Food|Rent & Housing|Transportation,Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",1–2,Quarterly,Pay Off Debt,Above 30%,High Cost of Living,2 – Slightly confident,5 – Almost always,"Yes, loosely","No, never used one",4 – High,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably No,Gig Worker / Irregular Income
R1311,25–34,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Below ₹10,000","Rent & Housing|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",1–2,Weekly,Build Emergency Fund|Invest & Grow Wealth|Pay Off Debt,11–20%,High Cost of Living,4 – Very confident,3 – Sometimes,"No, but I want to","No, never used one",2 – Low,Very comfortable,Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Definitely No,Young Urban Professional
R1312,55+,"Married, no children",Tier 2,0,Retired,"₹20,001–₹50,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Groceries & Food|Healthcare,Sometimes (3–5 times/month),Celebrations or festivals|I rarely spend impulsively,3–5,Never,No Specific Goal,Above 30%,High Cost of Living|No Budgeting Discipline,5 – Extremely confident,3 – Sometimes,"Yes, strictly","No, never used one",3 – Average,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹0 (Free only),Definitely No,Retired / Senior Citizen
R1313,35–44,"Married, with children",Tier 3,1,Student,"₹20,001–₹50,000",Mostly stable with some variation,"₹25,001–₹50,000",Transportation,Often (6+ times/month),"Flash sales, discounts & offers",None,Monthly,Invest & Grow Wealth,11–20%,Overspending,4 – Very confident,4 – Often,"No, but I want to","No, never used one",4 – High,Somewhat comfortable,AI Savings Recommendations & Goal Engine,₹0 (Free only),Maybe,Small Town Conservative Saver
R1314,35–44,"Single, with dependents",Metro (Tier 1),2,Self-employed,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹25,001–₹50,000",Groceries & Food|Healthcare|Transportation,Sometimes (3–5 times/month),Celebrations or festivals,3–5,Rarely,Build Emergency Fund|Children's Education|No Specific Goal,1–10%,Lack of Financial Knowledge|Low or Irregular Income,4 – Very confident,3 – Sometimes,"No, but I want to","No, never used one",4 – High,Somewhat uncomfortable,Subscription & Money Leak Detection,₹100–₹199,Definitely Yes,Gig Worker / Irregular Income
R1315,55+,"Married, with children",Tier 2,4+,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹25,001–₹50,000",EMIs & Loan Repayments|Education|Rent & Housing,Sometimes (3–5 times/month),"Celebrations or festivals|Flash sales, discounts & offers",1–2,Quarterly,Pay Off Debt,21–30%,High EMIs or Debt,4 – Very confident,3 – Sometimes,"No, but I want to","No, never used one",2 – Low,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Maybe,Middle-Income Family Provider
R1316,25–34,Joint family (supporting elders),Tier 2,2,Self-employed,"₹20,001–₹50,000",Mostly stable with some variation,"₹25,001–₹50,000",Education|Groceries & Food|Healthcare,Sometimes (3–5 times/month),"Celebrations or festivals|Convenience (food delivery, cabs, etc.)",None,Weekly,Build Emergency Fund|Children's Education|Save for Vacation,21–30%,High Cost of Living,5 – Extremely confident,3 – Sometimes,"No, but I want to","No, never used one",4 – High,Very uncomfortable,Financial Health Score with Peer Benchmarking,₹49–₹99,Maybe,Small Town Conservative Saver
R1317,35–44,"Married, with children",Rural,2,Retired,"Below ₹20,000",Very stable (fixed salary),"₹25,001–₹50,000",EMIs & Loan Repayments,Rarely (1–2 times/month),"Celebrations or festivals|Flash sales, discounts & offers",1–2,Weekly,"Children's Education|Save for Major Purchase (Home, Car)",0% (No savings),High Cost of Living,4 – Very confident,3 – Sometimes,"No, but I want to",Used before but stopped,4 – High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Probably Yes,Middle-Income Family Provider
R1318,25–34,"Married, no children",Metro (Tier 1),2,Freelancer or Gig Worker,"Above ₹2,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000","Entertainment & Dining Out|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social pressure or peer influence",1–2,Quarterly,"Invest & Grow Wealth|Save for Major Purchase (Home, Car)|Save for Vacation",21–30%,No Budgeting Discipline|Unexpected Expenses,3 – Moderately confident,4 – Often,"No, and I don't plan to","No, never used one",4 – High,Very comfortable,AI Savings Recommendations & Goal Engine,₹100–₹199,Maybe,High-Income Low-Awareness Spender
R1319,25–34,"Married, no children",Metro (Tier 1),3,Salaried (Private),"₹50,001–₹1,00,000",Very stable (fixed salary),"Above ₹1,00,000",Groceries & Food|Rent & Housing|Shopping & Fashion,Rarely (1–2 times/month),"Flash sales, discounts & offers|Social pressure or peer influence",3–5,Weekly,"Save for Major Purchase (Home, Car)|Save for Vacation",1–10%,Overspending|Unexpected Expenses,3 – Moderately confident,2 – Rarely,"No, but I want to","Yes, currently using one",4 – High,Neutral,AI Savings Recommendations & Goal Engine|Subscription & Money Leak Detection,₹49–₹99,Probably Yes,Young Urban Professional
R1320,25–34,"Single, no dependents",Tier 2,1,Salaried (Private),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000","Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Flash sales, discounts & offers|Social media influence",3–5,Monthly,Save for Vacation,21–30%,High Cost of Living|Overspending,4 – Very confident,4 – Often,"Yes, loosely","No, never used one",5 – Very High,Somewhat comfortable,Financial Health Score with Peer Benchmarking,₹100–₹199,Probably Yes,Young Urban Professional
R1321,18–24,"Married, with children",Rural,3,Student,"₹20,001–₹50,000",Mostly stable with some variation,"₹10,001–₹25,000","Education|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Flash sales, discounts & offers|Social pressure or peer influence",1–2,Monthly,"Save for Major Purchase (Home, Car)|Save for Vacation",11–20%,Low or Irregular Income|No Budgeting Discipline,3 – Moderately confident,5 – Almost always,"No, and I don't plan to",Used before but stopped,4 – High,Neutral,Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹49–₹99,Probably Yes,College Student / Early Career
